q_id,q_status,q_date,prop_date,on_date,wd_date,ia_date,IA_status_raw,IA_status_clean,county,state,county_state_pairs,fips_codes,poi_name,region,project_name,utility,entity,developer,cluster,service,project_type,type1,type2,type3,mw1,mw2,mw3,type_clean,q_year,prop_year
23INR0368,active,45203,46479,,,,"SS Completed, FIS Started, No IA",Facility Study,Parker,TX,"Parker, TX",48367,"Tap the 345 kV Parker Switch (bus#1436) _x0013_ Comanche Peak SES (bus#1900) Double-Circuit line, Circuit 1.",ERCOT,Rocking X Solar,,ERCOT,7100 Tin Top LLC,,,Generation,Solar,,,602.2,,,Solar,2023.0,2027
23INR0411,withdrawn,45061,45809,,45463,,FIS,Facility Study,Austin,TX,"Austin, TX",48015,tap 138kV 44700 Gebhardt - 44740 Wallis circuit 65,ERCOT,SkySealy2,,ERCOT,"Sky Global Power 2, LLC",,,Generation,Gas,,,150.0,,,Gas,2023.0,2025
23INR0561,active,44998,46722,,,,"SS Completed, FIS Started, No IA",Facility Study,Zapata,TX,"Zapata, TX",48505,345 kV Rapido Substation (New ETT Substation) tapping the existing 345 kV Line from CENIZO7C (#80225) to DELSOL7C (#80307).,ERCOT,Cascabel Wind 2,,ERCOT,"Vaquero Wind Energy, LLC",,,Generation,Wind,,,197.75,,,Wind,2023.0,2027
23INR0637,active,45035,46200,,,43695,"SS Completed, FIS Not Started, IA",IA Executed,Armstrong,TX,"Armstrong, TX",48011,tap 345kV 23900 Alibates - 23914 Tule Canyon CKT2,ERCOT,Goodnight Wind II,,ERCOT,"FGE Goodnight II, LLC",,,Generation,Wind,,,259.2,,,Wind,2023.0,2026
24INR0331,active,44943,46490,,,,"SS Completed, FIS Completed, No IA",Facility Study,Brown,TX,"Brown, TX",48049,Tap 345 kV 1444 BROWN SWITCH - 3424 BUCKHORN SWITCH,ERCOT,Chisme Storage,,ERCOT,"Blue Heron Solar, LLC",,,Generation,Battery,,,146.0,,,Battery,2023.0,2027
24INR0333,active,44943,46490,,,,"SS Completed, FIS Completed, No IA",Facility Study,Brown,TX,"Brown, TX",48049,Tap 345 kV 1444 BROWN SWITCH - 3424 BUCKHORN SWITCH,ERCOT,Chisme Solar,,ERCOT,"Blue Heron Solar, LLC",,,Generation,Solar,,,147.0,,,Solar,2023.0,2027
24INR0374,active,44943,46905,,,,"SS Completed, FIS Started, No IA",Facility Study,Hopkins,TX,"Hopkins, TX",48223,MONTICELLO SES (BUS# 1696) - ALLEN SWITCH (BUS# 2514),ERCOT,Farrier Station Energy Storage,,ERCOT,"Farrier Station Energy Storage Project, LLC",,,Generation,Battery,,,409.9,,,Battery,2023.0,2028
24INR0390,suspended,44943,,,,,,,Brazoria,TX,"Brazoria, TX",48039,,ERCOT,Long Point Solar II,,ERCOT,,,,Generation,Solar,,,100.9,,,Solar,2023.0,
24INR0424,active,44998,46722,,,,"SS Completed, FIS Started, No IA",Facility Study,Zapata,TX,"Zapata, TX",48505,345 kV Rapido Substation (New ETT Substation) tapping the existing 345 kV Line from CENIZO7C (#80225) to DELSOL7C (#80307),ERCOT,Cascabel Wind 1,,ERCOT,"Vaquero Wind Energy, LLC",,,Generation,Wind,,,197.75,,,Wind,2023.0,2027
24INR0437,suspended,45105,,,,,,,Franklin,TX,"Franklin, TX",48159,,ERCOT,Umbra Solar II,,ERCOT,,,,Generation,Solar,,,344.66,,,Solar,2023.0,
24INR0446,active,44984,46507,,,,"SS Completed, FIS Started, No IA",Facility Study,Starr,TX,"Starr, TX",48427,Tap 138kV 8796 Roma _x0013_ 7870 Escobares,ERCOT,PSE Gongora Hill TX Storage,,ERCOT,PureSky Development Inc,,,Generation,Battery,,,200.0,,,Battery,2023.0,2027
24INR0459,active,45117,46143,,,,"SS Completed, FIS Started, No IA",Facility Study,Caldwell,TX,"Caldwell, TX",48055,Tap 345kV 7040 Austrop _x0013_ 7042 Zorn,ERCOT,Exodus BESS,,ERCOT,Exodus Solar LLC,,,Generation,Battery,,,201.36,,,Battery,2023.0,2026
24INR0460,active,44929,45838,,,45183,"SS Completed, FIS Completed, IA",IA Executed,Galveston,TX,"Galveston, TX",48167,Hidden Lakes 138kV (38900),ERCOT,Evelyn Battery Energy Storage System,,ERCOT,Evelyn Energy Storage LLC,,,Generation,Battery,,,221.3,,,Battery,2023.0,2025
