ok Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Headquarters Location,Company Type,Operating Status,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Liquid AI,https://www.crunchbase.com/organization/liquid-ai,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning",Build efficient general-purpose AI at every scale.,347,,289
Blue Water Autonomy,https://www.crunchbase.com/organization/blue-water-autonomy,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Machinery Manufacturing, Manufacturing, Marine Transportation, Shipping",Blue Water Autonomy is a technology and shipbuilding company that revolutionizes naval operations through advanced autonomous vessels.,523,,441
7AI,https://www.crunchbase.com/organization/seven-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Software",7AI pioneers cybersecurity solutions that use powerful AI technology to defend enterprises from digital attacks.,"1,456",,"1,252"
Maven AGI,https://www.crunchbase.com/organization/maven-agi,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Enterprise, Generative AI, Machine Learning",Generative AI platform to reimagine customer experience starting with support,"1,967",,"1,698"
Cascala Health,https://www.crunchbase.com/organization/cascala-health,2024-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Health Care, Home Health Care, Information Technology, Nursing and Residential Care",Cascala Health offers an AI-enabled technology and services platform on supporting patient care and coordination during care transitions.,"2,221",,"1,923"
Lila Sciences,https://www.crunchbase.com/organization/lila-sciences,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Life Science, Software","Lila Sciences creates a scientific superintelligence platform and autonomous labs for life sciences, chemistry, and materials science.","2,957",,"2,561"
PhaseV,https://www.crunchbase.com/organization/phasev,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Clinical Trials, Pharmaceutical, Therapeutics",PhaseV provides AI-driven solutions for efficient clinical development and operations.,"3,347",,"2,909"
Enkrypt AI,https://www.crunchbase.com/organization/enkrypt-ai,2023-03-31,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Asset Management, Digital Marketing, Information Technology",Achieve AI security & safety with a platform that detects and removes vulnerabilities and monitors performance for continuous insights.,"4,082",,"3,554"
GE Vernova,https://www.crunchbase.com/organization/ge-vernova,2024-04-02,day,"Boston, Massachusetts, United States",For Profit,Active,"Energy, Energy Efficiency, Sustainability","GE Vernova provides energy consulting, gas power, and grid solutions.","4,205",,"3,659"
Antares Therapeutics,https://www.crunchbase.com/organization/antares-therapeutics-971a,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biopharma, Biotechnology, Ediscovery, Health Care, Life Science, Manufacturing, Therapeutics","Antares is a biotechnology company focused on developing transformational,medicines targeting validated cancer and other serious diseases.","6,043",,"5,297"
Somite,https://www.crunchbase.com/organization/somite,2023-10-19,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology",Somite is leveraging data and AI to introduce novel cell replacement therapies.,"6,052",,"5,305"
StackAI,https://www.crunchbase.com/organization/stack-87fd,2023-01-01,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Apps, Artificial Intelligence (AI), Developer Platform, Software",Build and deploy Enterprise-Grade AI Agents.,"7,256",,"6,368"
Seaport Therapeutics,https://www.crunchbase.com/organization/seaport-therapeutics,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Pharmaceutical, Therapeutics",Seaport Therapeutics operates as a clinical stage biopharmaceutical company.,"7,322",,"6,424"
CervoMed,https://www.crunchbase.com/organization/cervomed,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Pharmaceutical",CervoMed a clinical-stage firm focused on discovering therapies for brain degenerative illnesses.,"7,462",,"6,548"
MoldCo,https://www.crunchbase.com/organization/moldco,2023-03-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Medical",MoldCo helps you reclaim your health from mold with virtual care and specialized lab testing.,"7,523",,"6,604"
Dash Bio,https://www.crunchbase.com/organization/dash-bio,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Robotics, Software",Dash Bio is a modern automated platform.,"8,427",,"7,422"
Blitzy,https://www.crunchbase.com/organization/blitzy,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Software",Blitzy is a Generative AI software platform that aims to automate custom software development.,"8,910",,"7,846"
Bambusa Therapeutics,https://www.crunchbase.com/organization/bambusa-therapeutics,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Care, Life Science, Medical",Bambusa Therapeutics operates as biotechnology company.,"9,503",,"8,375"
Singulr AI,https://www.crunchbase.com/organization/singulr-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Software",Singulr AI is an AI-powered test automation platform for generating and maintaining tests across web and mobile apps.,"10,622",,"9,406"
Cambridge Terahertz,https://www.crunchbase.com/organization/cambridge-terahertz,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Business Development, Information Technology, Internet, SaaS","Cambridge Terahertz is a technology company that offers SaaS applications, REST APIs, and 3D imaging systems.","10,756",,"9,525"
TRIMTECH Therapeutics,https://www.crunchbase.com/organization/trimtech-therapeutics,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Medical, Therapeutics",TRIMTECH Therapeutics treats inflammatory and persistent CNS conditions by focusing on the elimination of harmful proteins.,"10,821",,"9,585"
Agency AI,https://www.crunchbase.com/organization/agency-ai,2023-06-16,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Business Development, Customer Service",Agency AI helps to manage workflows of B2B Customer Success teams,"11,168",,"9,899"
