Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
ENGIE North America,https://www.crunchbase.com/organization/engie-north-america,1001-5000,High,Active,Private,"Houston, Texas, United States","Clean Energy, Energy, Energy Storage, Green Building, Oil and Gas, Power Grid, Renewable Energy",ENGIE North America is a renewable energy firm that focuses on the development and implementation of sustainable green energy solutions.,"1,827",,"1,533"
Avelo Airlines,https://www.crunchbase.com/organization/avelo-airlines,1001-5000,High,Active,Private,"Houston, Texas, United States","Aerospace, Air Transportation, Public Transportation, Travel","Avelo Airlines is an aviation company that offers an affordable, convenient, and caring travel experience.","1,866",,"1,566"
Crescent Energy,https://www.crunchbase.com/organization/crescent-energy-8587,501-1000,High,Active,Public,"Houston, Texas, United States","Energy, Oil and Gas",Crescent Energy is an energy company delivering value for shareholders through acquisition strategy and consistent return of capital.,"1,945",,"1,632"
Sable Offshore,https://www.crunchbase.com/organization/sable-offshore,101-250,High,Active,Public,"Houston, Texas, United States","Energy, Energy Management, Oil and Gas",Sable Offshore is a self-reliant oil and gas company.,"2,298",,"1,938"
Skyward Specialty,https://www.crunchbase.com/organization/skyward-specialty,501-1000,High,Active,Public,"Houston, Texas, United States",Insurance,Skyward Specialty is a property and casualty insurance holding company.,"2,554",,"2,164"
Diamond Infrastructure Solutions,https://www.crunchbase.com/organization/diamond-infrastructure-solutions,1001-5000,High,Active,Private,"Houston, Texas, United States",Infrastructure,Diamond Infrastructure Solutions focus on operational efficiencies and new customer acquisition.,"2,938",,"2,492"
NextDecade,https://www.crunchbase.com/organization/nextdecade,101-250,High,Active,Public,"Houston, Texas, United States","Energy, Industrial, Natural Resources, Oil and Gas",NextDecade is an LNG development company focusing on LNG export projects and associated pipelines.,"3,525",,"2,997"
Catalyze,https://www.crunchbase.com/organization/catalyze,251-500,High,Active,Private,"Houston, Texas, United States","Analytics, Renewable Energy","Catalyze is a renewable energy data analytics, development, and asset management platform.","4,638",,"3,959"
Tekmetric,https://www.crunchbase.com/organization/tekmetric,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, SaaS, Software","Digital vehicle inspections, repair orders, inventory, job progress, customer communication, & much more.","6,446",,"5,538"
WaterBridge Resources,https://www.crunchbase.com/organization/waterbridge-resources,251-500,High,Active,Public,"Houston, Texas, United States","Energy, Infrastructure, Oil and Gas","A midstream development company focused on developing, acquiring and operating flowback and produced water infrastructure","7,026",,"6,048"
Sysco,https://www.crunchbase.com/organization/sysco,10001+,High,Active,Public,"Houston, Texas, United States","Electrical Distribution, Food and Beverage, Food Delivery, Health Care, Hospitality, Logistics, Marketing, Meat and Poultry, Restaurants, Sales","Sysco sells, markets, and distributes food products to restaurants, hotels, and other hospitality businesses.","9,319",,"8,085"
Plains All American Pipeline,https://www.crunchbase.com/organization/plains-all-american-pipeline,1001-5000,High,Active,Public,"Houston, Texas, United States","Energy, Energy Efficiency, Oil and Gas","Plains All American Pipeline is engaged in the transportation, storage, terminalling and marketing of crude oil.","13,623",,"11,975"
Nutex Health,https://www.crunchbase.com/organization/nutex-health,1001-5000,High,Active,Public,"Houston, Texas, United States","Health Care, Hospital, Service Industry",Nutex Health is a service provider and management firm in the Micro-hospital and Freestanding Emergency Room (FSER) industry.,"17,038",,"15,073"
PackGene Biotech,https://www.crunchbase.com/organization/packgene-biotech,251-500,High,Active,Private,"Houston, Texas, United States","Biotechnology, Health Care",PackGene Biotech provides CRO/CDMO services for gene therapy and cell therapy researchers and developers.,"18,265",,"16,195"
Flowco,https://www.crunchbase.com/organization/flowco-1ac8,1001-5000,High,Active,Public,"Houston, Texas, United States","Industrial, Natural Resources, Oil and Gas",Flowco is an oil and gas company that specializes in high pressure gas production solutions and natural gas technologies.,"20,427",,"18,211"
Chord Energy,https://www.crunchbase.com/organization/chord-energy,501-1000,High,Active,Public,"Houston, Texas, United States","Oil and Gas, Wholesale","Chord Energy is an oil and gas company engaged in the development, production, and acquisition of crude oil, NGLs, and natural gas.","27,127",,"24,450"
MD Anderson Cancer Center,https://www.crunchbase.com/organization/md-anderson-cancer-center-19d6,10001+,High,Active,Private,"Houston, Texas, United States","Health Care, Health Diagnostics, Hospital, Medical",MD Anderson Cancer Center's mission is to eliminate cancer,"55,340",,"50,827"
Bristow Group,https://www.crunchbase.com/organization/bristow-group,5001-10000,High,Active,Public,"Houston, Texas, United States","Aerospace, Information Services, Service Industry",Bristow Group Inc. (Bristow Group) is a provider of helicopter services to the worldwide offshore energy industry,"56,120",,"51,564"
Next Level Urgent Care,https://www.crunchbase.com/organization/next-level-urgent-care-llc,501-1000,High,Active,Private,"Houston, Texas, United States","Health Care, Primary and Urgent Care","Next Level Urgent Care is a healthcare company specializing in medicine, urgent care, and healthcare services.","56,950",,"52,349"
Phillips 66,https://www.crunchbase.com/organization/phillips-66-2,10001+,High,Active,Public,"Houston, Texas, United States","Energy, Logistics, Manufacturing",Energy manufacturing and logistics company,"57,202",,"52,586"
Texas Eastern Transmission,https://www.crunchbase.com/organization/texas-eastern-transmission,501-1000,High,Active,Private,"Houston, Texas, United States",Transportation,"Texas Eastern Transmission, LP, together with its subsidiaries, engages in the interstate transportation and storage of natural gas.","59,375",,"54,623"
SEARCH Homeless Services,https://www.crunchbase.com/organization/search-homeless-services,101-250,High,Active,Private,"Houston, Texas, United States",Association,SEARCH Homeless Services is a welfare organization offering education and employment for homeless people.,"67,945",,"62,765"
KA Fund Advisors,https://www.crunchbase.com/organization/ka-fund-advisors-llc,501-1000,High,Active,Public,"Houston, Texas, United States","Banking, Finance, Financial Services",KA Fund Advisors is an investor in public and private energy companies.,"73,331",,"67,877"
Smith & Associates,https://www.crunchbase.com/organization/smith-associates,251-500,High,Active,Private,"Houston, Texas, United States","Electrical Distribution, Manufacturing, Semiconductor, Supply Chain Management, Wholesale",Smith & Associates is a global distributor of electronic components and semiconductor company.,"84,872",,"78,873"
PROS,https://www.crunchbase.com/organization/pros-bef1,1001-5000,High,Active,Public,"Houston, Texas, United States","Artificial Intelligence (AI), Big Data, Computer, Software",PROS provides AI-based solutions to businesses to achieve growth through digital selling and eCommerce channels.,"85,806",,"79,761"
Bishop Lifting Products,https://www.crunchbase.com/organization/bishop-lifting-products,501-1000,High,Active,Private,"Houston, Texas, United States","Industrial, Industrial Manufacturing, Manufacturing","Bishop Lifting Products is a manufacturer and distributor of products, services and solutions for crane, rigging and oilfield applications.","86,824",,"80,732"
Ingrain,https://www.crunchbase.com/organization/ingrain-inc,251-500,High,Active,Private,"Houston, Texas, United States","Environmental Engineering, Oil and Gas, Real Time",Ingrain delivers near real-time precise measurements of physical properties of reservoir rocks and drill cuttings.,"93,029",,"86,673"
Thompson Safety,https://www.crunchbase.com/organization/thompson-safety,101-250,High,Active,Private,"Houston, Texas, United States","Emergency Medicine, Facilities Support Services, Medical","Thompson Safety is a full-service safety company that supplies first aid, safety supplies & PPE, AED, eyewash, and training services.","100,051",,"93,424"
Mobisoft Infotech,https://www.crunchbase.com/organization/mobisoft-infotech,101-250,High,Active,Private,"Houston, Texas, United States","Android, Information Technology, Internet, iOS, Software",Mobisoft Infotech helps enterprises achieve their business goals by defining their mobile initiatives and reaping benefits from mobility.,"120,658",,"113,189"
RCI Hospitality,https://www.crunchbase.com/organization/rci-hospitality-holdings,1001-5000,High,Active,Public,"Houston, Texas, United States",Hospitality,"RCI Hospitality offers live adult entertainment, restaurant, and or bar operations.","179,768",,"170,060"
